#,Date-Time (EST/EDT),Ch:1 - Temperature   (°C),Water Detect,Button Down,Button Up,Host Connected,End of File
1,7/17/2023 12:04,26.295,Logged,,,,
2,7/17/2023 12:14,28.483,,,,,
3,7/17/2023 12:24,30.221,,,,,
4,7/17/2023 12:34,31.615,,,,,
5,7/17/2023 12:44,26.145,,,,,
6,7/17/2023 12:54,24.418,,,,,
7,7/17/2023 13:04,24.279,,,,,
8,7/17/2023 13:14,24.268,,,,,
9,7/17/2023 13:24,24.225,,,,,
10,7/17/2023 13:34,24.204,,,,,
11,7/17/2023 13:44,24.214,,,,,
12,7/17/2023 13:54,24.257,,,,,
13,7/17/2023 14:04,24.247,,,,,
14,7/17/2023 14:14,24.247,,,,,
15,7/17/2023 14:24,24.257,,,,,
16,7/17/2023 14:34,24.257,,,,,
17,7/17/2023 14:44,24.343,,,,,
18,7/17/2023 14:54,24.44,,,,,
19,7/17/2023 15:04,24.601,,,,,
20,7/17/2023 15:14,24.654,,,,,
21,7/17/2023 15:24,24.708,,,,,
22,7/17/2023 15:34,24.772,,,,,
23,7/17/2023 15:44,24.858,,,,,
24,7/17/2023 15:54,24.74,,,,,
25,7/17/2023 16:04,24.794,,,,,
26,7/17/2023 16:14,24.955,,,,,
27,7/17/2023 16:24,25.287,,,,,
28,7/17/2023 16:34,25.469,,,,,
29,7/17/2023 16:44,25.491,,,,,
30,7/17/2023 16:54,25.77,,,,,
31,7/17/2023 17:04,25.888,,,,,
32,7/17/2023 17:14,25.834,,,,,
33,7/17/2023 17:24,25.866,,,,,
34,7/17/2023 17:34,25.898,,,,,
35,7/17/2023 17:44,26.091,,,,,
36,7/17/2023 17:54,26.209,,,,,
37,7/17/2023 18:04,26.006,,,,,
38,7/17/2023 18:14,25.459,,,,,
39,7/17/2023 18:24,25.319,,,,,
40,7/17/2023 18:34,25.394,,,,,
41,7/17/2023 18:44,25.426,,,,,
42,7/17/2023 18:54,25.652,,,,,
43,7/17/2023 19:04,25.469,,,,,
44,7/17/2023 19:14,25.48,,,,,
45,7/17/2023 19:24,25.544,,,,,
46,7/17/2023 19:34,25.866,,,,,
47,7/17/2023 19:44,25.148,,,,,
48,7/17/2023 19:54,25.115,,,,,
49,7/17/2023 20:04,25.373,,,,,
50,7/17/2023 20:14,24.987,,,,,
51,7/17/2023 20:24,25.115,,,,,
52,7/17/2023 20:34,25.362,,,,,
53,7/17/2023 20:44,25.105,,,,,
54,7/17/2023 20:54,25.105,,,,,
55,7/17/2023 21:04,25.051,,,,,
56,7/17/2023 21:14,25.03,,,,,
57,7/17/2023 21:24,25.008,,,,,
58,7/17/2023 21:34,24.879,,,,,
59,7/17/2023 21:44,24.751,,,,,
60,7/17/2023 21:54,24.697,,,,,
61,7/17/2023 22:04,24.644,,,,,
62,7/17/2023 22:14,24.568,,,,,
63,7/17/2023 22:24,24.536,,,,,
64,7/17/2023 22:34,24.536,,,,,
65,7/17/2023 22:44,24.526,,,,,
66,7/17/2023 22:54,24.526,,,,,
67,7/17/2023 23:04,24.515,,,,,
68,7/17/2023 23:14,24.493,,,,,
