Field ID,Date,Site,State,Bag_number,Individual,Shell_length,Survival
0924FENC,9/25/2024,FENC,CT,1,1,71.04,1
0924FENC,9/25/2024,FENC,CT,1,2,78.17,1
0924FENC,9/25/2024,FENC,CT,1,3,49.01,1
0924FENC,9/25/2024,FENC,CT,1,4,45.26,1
0924FENC,9/25/2024,FENC,CT,1,5,67.76,1
0924FENC,9/25/2024,FENC,CT,1,6,62.2,1
0924FENC,9/25/2024,FENC,CT,1,7,69.9,1
0924FENC,9/25/2024,FENC,CT,1,8,60.56,1
0924FENC,9/25/2024,FENC,CT,1,9,52.54,1
0924FENC,9/25/2024,FENC,CT,1,10,71.1,1
0924FENC,9/25/2024,FENC,CT,1,11,76.16,1
0924FENC,9/25/2024,FENC,CT,1,12,63.08,1
0924FENC,9/25/2024,FENC,CT,1,13,85.38,1
0924FENC,9/25/2024,FENC,CT,1,14,66.03,1
0924FENC,9/25/2024,FENC,CT,1,15,53.06,1
0924FENC,9/25/2024,FENC,CT,1,16,81.95,1
0924FENC,9/25/2024,FENC,CT,1,17,92.84,1
0924FENC,9/25/2024,FENC,CT,1,18,78.53,1
0924FENC,9/25/2024,FENC,CT,1,19,85.56,1
0924FENC,9/25/2024,FENC,CT,1,20,39.14,1
0924FENC,9/25/2024,FENC,CT,1,21,57.41,1
0924FENC,9/25/2024,FENC,CT,1,22,50.77,1
0924FENC,9/25/2024,FENC,CT,1,23,46.79,1
0924FENC,9/25/2024,FENC,CT,1,24,65.68,1
0924FENC,9/25/2024,FENC,CT,1,25,86.52,1
0924FENC,9/25/2024,FENC,CT,1,26,82.94,1
0924FENC,9/25/2024,FENC,CT,1,27,65.32,1
0924FENC,9/25/2024,FENC,CT,1,28,62.68,1
0924FENC,9/25/2024,FENC,CT,1,29,73.85,1
0924FENC,9/25/2024,FENC,CT,1,30,68.85,1
0924FENC,9/25/2024,FENC,CT,1,31,56.99,1
0924FENC,9/25/2024,FENC,CT,1,32,39.49,1
0924FENC,9/25/2024,FENC,CT,1,33,45.56,1
0924FENC,9/25/2024,FENC,CT,1,34,50.19,1
0924FENC,9/25/2024,FENC,CT,1,35,64.21,1
0924FENC,9/25/2024,FENC,CT,1,36,67.59,1
0924FENC,9/25/2024,FENC,CT,1,37,69.74,1
0924FENC,9/25/2024,FENC,CT,1,38,66.16,1
0924FENC,9/25/2024,FENC,CT,1,39,61.63,1
0924FENC,9/25/2024,FENC,CT,1,40,63.05,1
0924FENC,9/25/2024,FENC,CT,1,41,61.16,1
0924FENC,9/25/2024,FENC,CT,1,42,54.94,1
0924FENC,9/25/2024,FENC,CT,1,43,38.41,1
0924FENC,9/25/2024,FENC,CT,1,44,69.11,1
0924FENC,9/25/2024,FENC,CT,1,45,57.56,1
0924FENC,9/25/2024,FENC,CT,1,46,93.79,1
0924FENC,9/25/2024,FENC,CT,1,47,48.65,1
0924FENC,9/25/2024,FENC,CT,1,48,70.99,1
0924FENC,9/25/2024,FENC,CT,1,49,64.29,1
0924FENC,9/25/2024,FENC,CT,1,50,59.92,1
0924FENC,9/25/2024,FENC,CT,1,51,74.74,1
0924FENC,9/25/2024,FENC,CT,1,52,75.04,1
0924FENC,9/25/2024,FENC,CT,1,53,68.46,1
0924FENC,9/25/2024,FENC,CT,1,54,59.33,1
0924FENC,9/25/2024,FENC,CT,1,55,80.37,1
0924FENC,9/25/2024,FENC,CT,1,56,63.05,1
0924FENC,9/25/2024,FENC,CT,1,57,38.09,1
0924FENC,9/25/2024,FENC,CT,1,58,52.38,1
0924FENC,9/25/2024,FENC,CT,1,59,62.66,1
0924FENC,9/25/2024,FENC,CT,1,60,65.05,1
0924FENC,9/25/2024,FENC,CT,1,61,61.06,1
0924FENC,9/25/2024,FENC,CT,1,62,52.32,1
0924FENC,9/25/2024,FENC,CT,1,63,51.98,1
0924FENC,9/25/2024,FENC,CT,1,64,55.68,1
0924FENC,9/25/2024,FENC,CT,1,65,63.06,1
0924FENC,9/25/2024,FENC,CT,1,66,59.35,1
0924FENC,9/25/2024,FENC,CT,1,67,71.41,1
0924FENC,9/25/2024,FENC,CT,1,68,54.38,1
0924FENC,9/25/2024,FENC,CT,1,69,43.44,1
0924FENC,9/25/2024,FENC,CT,1,70,58.73,1
0924FENC,9/25/2024,FENC,CT,1,71,54.17,1
0924FENC,9/25/2024,FENC,CT,1,72,60.8,1
0924FENC,9/25/2024,FENC,CT,1,73,26.91,1
0924FENC,9/25/2024,FENC,CT,1,74,31.76,1
0924FENC,9/25/2024,FENC,CT,1,75,,0
0924FENC,9/25/2024,FENC,CT,1,76,,0
0924FENC,9/25/2024,FENC,CT,1,77,,0
0924FENC,9/25/2024,FENC,CT,1,78,,0
0924FENC,9/25/2024,FENC,CT,1,79,,0
0924FENC,9/25/2024,FENC,CT,1,80,,0
0924FENC,9/25/2024,FENC,CT,1,81,,0
0924FENC,9/25/2024,FENC,CT,1,82,,0
0924FENC,9/25/2024,FENC,CT,1,83,,0
0924FENC,9/25/2024,FENC,CT,1,84,,0
0924FENC,9/25/2024,FENC,CT,1,85,,0
0924FENC,9/25/2024,FENC,CT,1,86,,0
0924FENC,9/25/2024,FENC,CT,1,87,,0
0924FENC,9/25/2024,FENC,CT,1,88,,0
0924FENC,9/25/2024,FENC,CT,1,89,,0
0924FENC,9/25/2024,FENC,CT,1,90,,0
0924FENC,9/25/2024,FENC,CT,1,91,,0
0924FENC,9/25/2024,FENC,CT,1,92,,0
0924FENC,9/25/2024,FENC,CT,1,93,,0
0924FENC,9/25/2024,FENC,CT,1,94,,0
0924FENC,9/25/2024,FENC,CT,1,95,,0
0924FENC,9/25/2024,FENC,CT,1,96,,0
0924FENC,9/25/2024,FENC,CT,1,97,,0
0924FENC,9/25/2024,FENC,CT,1,98,,0
0924FENC,9/25/2024,FENC,CT,1,99,,0
0924FENC,9/25/2024,FENC,CT,1,100,,0
0924FENC,9/25/2024,FENC,CT,2,1,96.14,1
0924FENC,9/25/2024,FENC,CT,2,2,66.58,1
0924FENC,9/25/2024,FENC,CT,2,3,80.61,1
0924FENC,9/25/2024,FENC,CT,2,4,66.82,1
0924FENC,9/25/2024,FENC,CT,2,5,80.79,1
0924FENC,9/25/2024,FENC,CT,2,6,79.07,1
0924FENC,9/25/2024,FENC,CT,2,7,78.36,1
0924FENC,9/25/2024,FENC,CT,2,8,84.52,1
0924FENC,9/25/2024,FENC,CT,2,9,85.23,1
0924FENC,9/25/2024,FENC,CT,2,10,72.69,1
0924FENC,9/25/2024,FENC,CT,2,11,73.34,1
0924FENC,9/25/2024,FENC,CT,2,12,64.79,1
0924FENC,9/25/2024,FENC,CT,2,13,58.9,1
0924FENC,9/25/2024,FENC,CT,2,14,66.16,1
0924FENC,9/25/2024,FENC,CT,2,15,83.38,1
0924FENC,9/25/2024,FENC,CT,2,16,67.14,1
0924FENC,9/25/2024,FENC,CT,2,17,32.07,1
0924FENC,9/25/2024,FENC,CT,2,18,68.15,1
0924FENC,9/25/2024,FENC,CT,2,19,76.74,1
0924FENC,9/25/2024,FENC,CT,2,20,87.41,1
0924FENC,9/25/2024,FENC,CT,2,21,67.99,1
0924FENC,9/25/2024,FENC,CT,2,22,60.34,1
0924FENC,9/25/2024,FENC,CT,2,23,70.47,1
0924FENC,9/25/2024,FENC,CT,2,24,73.09,1
0924FENC,9/25/2024,FENC,CT,2,25,70.52,1
0924FENC,9/25/2024,FENC,CT,2,26,61.98,1
0924FENC,9/25/2024,FENC,CT,2,27,71.23,1
0924FENC,9/25/2024,FENC,CT,2,28,57.67,1
0924FENC,9/25/2024,FENC,CT,2,29,67.69,1
0924FENC,9/25/2024,FENC,CT,2,30,64,1
0924FENC,9/25/2024,FENC,CT,2,31,61.67,1
0924FENC,9/25/2024,FENC,CT,2,32,74.72,1
0924FENC,9/25/2024,FENC,CT,2,33,61.67,1
0924FENC,9/25/2024,FENC,CT,2,34,40.85,1
0924FENC,9/25/2024,FENC,CT,2,35,57.38,1
0924FENC,9/25/2024,FENC,CT,2,36,42.33,1
0924FENC,9/25/2024,FENC,CT,2,37,56.06,1
0924FENC,9/25/2024,FENC,CT,2,38,57.95,1
0924FENC,9/25/2024,FENC,CT,2,39,60.81,1
0924FENC,9/25/2024,FENC,CT,2,40,67.9,1
0924FENC,9/25/2024,FENC,CT,2,41,71.99,1
0924FENC,9/25/2024,FENC,CT,2,42,59.86,1
0924FENC,9/25/2024,FENC,CT,2,43,59.71,1
0924FENC,9/25/2024,FENC,CT,2,44,59.13,1
0924FENC,9/25/2024,FENC,CT,2,45,57.54,1
0924FENC,9/25/2024,FENC,CT,2,46,57.62,1
0924FENC,9/25/2024,FENC,CT,2,47,43.64,1
0924FENC,9/25/2024,FENC,CT,2,48,58.69,1
0924FENC,9/25/2024,FENC,CT,2,49,51.91,1
0924FENC,9/25/2024,FENC,CT,2,50,56.39,1
0924FENC,9/25/2024,FENC,CT,2,51,51.39,1
0924FENC,9/25/2024,FENC,CT,2,52,48.25,1
0924FENC,9/25/2024,FENC,CT,2,53,54.24,1
0924FENC,9/25/2024,FENC,CT,2,54,56.4,1
0924FENC,9/25/2024,FENC,CT,2,55,51.89,1
0924FENC,9/25/2024,FENC,CT,2,56,,0
0924FENC,9/25/2024,FENC,CT,2,57,,0
0924FENC,9/25/2024,FENC,CT,2,58,,0
0924FENC,9/25/2024,FENC,CT,2,59,,0
0924FENC,9/25/2024,FENC,CT,2,60,,0
0924FENC,9/25/2024,FENC,CT,2,61,,0
0924FENC,9/25/2024,FENC,CT,2,62,,0
0924FENC,9/25/2024,FENC,CT,2,63,,0
0924FENC,9/25/2024,FENC,CT,2,64,,0
0924FENC,9/25/2024,FENC,CT,2,65,,0
0924FENC,9/25/2024,FENC,CT,2,66,,0
0924FENC,9/25/2024,FENC,CT,2,67,,0
0924FENC,9/25/2024,FENC,CT,2,68,,0
0924FENC,9/25/2024,FENC,CT,2,69,,0
0924FENC,9/25/2024,FENC,CT,2,70,,0
0924FENC,9/25/2024,FENC,CT,2,71,,0
0924FENC,9/25/2024,FENC,CT,2,72,,0
0924FENC,9/25/2024,FENC,CT,2,73,,0
0924FENC,9/25/2024,FENC,CT,2,74,,0
0924FENC,9/25/2024,FENC,CT,2,75,,0
