lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr1_etoh,ggr2_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh
0823GOLD_01,8/14/2023,GOLD,1,NA,NA,8/15/2023,33.48,67,52.41,13.46,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823GOLD_02,8/14/2023,GOLD,2,NA,NA,8/15/2023,53.07,77.11,56.09,20.38,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823GOLD_03,8/14/2023,GOLD,3,NA,NA,8/15/2023,30.65,65.63,49.74,15.93,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823GOLD_04,8/14/2023,GOLD,4,NA,NA,8/15/2023,30.89,76.71,49.75,14.28,5_fair,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823GOLD_05,8/14/2023,GOLD,5,NA,NA,8/15/2023,34.57,78,45.35,19.32,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823GOLD_06,8/14/2023,GOLD,6,NA,NA,8/15/2023,39.75,69.28,50.04,20.95,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823GOLD_07,8/14/2023,GOLD,7,NA,NA,8/15/2023,36.11,100.01,60.23,11.11,6_fair_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823GOLD_08,8/14/2023,GOLD,8,NA,NA,8/15/2023,37.87,68.96,60.61,19.08,4_fair_plus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823GOLD_09,8/14/2023,GOLD,9,NA,NA,8/15/2023,41.79,99,50.8,15.22,3_good_minus,conchiolin ,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
0823GOLD_10,8/14/2023,GOLD,10,NA,NA,8/15/2023,46.84,80.23,50.86,19.64,3_good_minus,,TRUE,TRUE,TRUE,FALSE,TRUE,8/15/2023,
