lab_id,date_collected,site,lab_sample,oyster_zone,light_regime,date_processed,ww_total_g,height_mm,length_mm,width_mm,condition,dissection_notes,mantle_rftm,ggr1_etoh,ggr2_etoh,adductor_etoh,cross_histology,date_davidsons,date_etoh
0623GOLD_01,6/20/2023,GOLD,1,NA,NA,6/21/2023,38.44,77.37,49.89,16.48,4_fair_plus,conchiolin,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_02,6/20/2023,GOLD,2,NA,NA,6/21/2023,30.79,72.74,50.51,20.49,4_fair_plus,IM training ,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_03,6/20/2023,GOLD,3,NA,NA,6/21/2023,39.49,71.5,48.89,25.65,3_good_minus,conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_04,6/20/2023,GOLD,4,NA,NA,6/21/2023,33.87,81.08,48.8,17.01,3_good_minus,conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_05,6/20/2023,GOLD,5,NA,NA,6/21/2023,44.09,70.94,56.66,21.8,2_good,conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_06,6/20/2023,GOLD,6,NA,NA,6/21/2023,37.84,66.88,52.48,19.84,2_good,conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_07,6/20/2023,GOLD,7,NA,NA,6/21/2023,30.02,76.42,55.55,13.42,6_fair_minus,pea crab; IM training ,TRUE,TRUE,FALSE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_08,6/20/2023,GOLD,8,NA,NA,6/21/2023,35.64,68.61,50.61,22.9,3_good_minus,conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_09,6/20/2023,GOLD,9,NA,NA,6/21/2023,28.71,64.64,50.72,20.75,3_good_minus,conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_10,6/20/2023,GOLD,10,NA,NA,6/21/2023,41.63,71.99,53.4,20.94,3_good_minus,"conchiolin,  mud blisters ",TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_11,6/20/2023,GOLD,11,NA,NA,6/21/2023,50.55,76.54,61.05,29.01,2_good,conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_12,6/20/2023,GOLD,12,NA,NA,6/21/2023,29.6,70.36,38.87,20.18,2_good,conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_13,6/20/2023,GOLD,13,NA,NA,6/21/2023,39.32,68.14,50.46,26.69,4_fair_plus,conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_14,6/20/2023,GOLD,14,NA,NA,6/21/2023,28.29,62.11,56.19,17.64,3_good_minus,conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_15,6/20/2023,GOLD,15,NA,NA,6/21/2023,35.82,72.95,45.69,20.06,2_good,conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_16,6/20/2023,GOLD,16,NA,NA,6/21/2023,45.66,76.17,48.29,24.45,4_fair_plus,conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_17,6/20/2023,GOLD,17,NA,NA,6/21/2023,35.66,70.8,50.47,22.01,3_good_minus,conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_18,6/20/2023,GOLD,18,NA,NA,6/21/2023,43.11,84.41,55.68,22.48,3_good_minus,conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_19,6/20/2023,GOLD,19,NA,NA,6/21/2023,35.33,78.21,44.26,21.15,3_good_minus,conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_20,6/20/2023,GOLD,20,NA,NA,6/21/2023,52.36,83.27,71.76,26.94,3_good_minus,conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_21,6/20/2023,GOLD,21,NA,NA,6/21/2023,18.98,65.32,51.06,13.32,3_good_minus,conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_22,6/20/2023,GOLD,22,NA,NA,6/21/2023,20.72,74.3,40.95,15.34,3_good_minus,conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_23,6/20/2023,GOLD,23,NA,NA,6/21/2023,29.69,63.02,47.36,22.01,4_fair_plus,,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
0623GOLD_24,6/20/2023,GOLD,24,NA,NA,6/21/2023,21.38,62.36,41.96,13.42,5_fair,conchiolin ,TRUE,TRUE,TRUE,TRUE,TRUE,6/21/2023,6/23/2023
